(1) We can only meet Customers when they have a specific need  (Choose one option),(2) Customers have a good understanding of our kind of services (Choose one option),(3) Customers know what is the best solution for them (Choose one option),(4) Customer know what they want and what they do not want (Choose one option),(5) Customers have a good knowledge of the different services/products offer by other competitors (Choose one option),(6) Customers are normally hard to influence (Choose one option),(7) Customers are generally resistant to new ideas and possible alternatives (Choose one option),(8) Customers have the relevant expertise to appreciate the differences that may exist between different suppliers (Choose one option),(9) Customers are most of the time resistant to advice (Choose one option),(10) Customers view us more as a supplier than a speaking partner (Choose one option),(11) Attitude of the decision makers in relation to sales people. (Choose the 4 most important statements),(12) We normally work more than 3 years in a row with a customer (Choose one option),(13) Our company brand name is a strong asset in customer contacts (Choose one option),(14) Our competitiveness is recognised easily by customers (Choose one option),(15) We are known for the superior quality of our products and services (Choose one option),(16) Our price is easily accepted by customers (Choose one option),(17) Most of the time we do not fight against other competitors (Choose one option),(18) Customers very often take the initiative to meet with us (Choose one option),(19) We can easily access key decision makers at customers (Choose one option),(20) Customers help us in customer acquisition by playing an active reference role when asked for (Choose one option),"(21) We are certainly the ""top of the mind supplier"" when customers have a need (Choose one option)",(22) Attitude of the decision makers in relation to the company's offering. (Choose the 4 most important statements),(23) I do my utmost to fulfil customers' expressed requirements (Choose one option),(24) I have a very nice and friendly contact (Choose one option),(25) I am empathetic and a very good listener (Choose one option),(26) I am really good at consolidating the relations by being flexible and caring (Choose one option),(27) I am happy to spend time with customers when they demand it (Choose one option),(28) I have a strong analysis ability based on a good investigation technique (Choose one option),(29) I am good at demonstrating my high level of expertise (Choose one option),"(30) I am good at defining, explaining and showing (Choose one option)",(31) I am really skilled at selling the competitiveness of our products (Choose one option),"(32) I am using proofs: facts, figures and references systematically (Choose one option)",My sales practices can be described as follows.(Choose the 4 most relevant statements),(34) I am very goal oriented: for every customer meeting I have a very clear sales objective (Choose one option),(35) I am skilled at drawing attention and creating interest from almost nothing (Choose one option),(36) I am comfortable at handling conflicts: I have a very good pressure resistance (Choose one option),(37) I am only chasing good opportunities (Choose one option),(38) I am strong at closing: steering every customer meeting to a decision (Choose one option),(39) I am skilled at challenging the customer's problem (Choose one option),"(40) I am really taking into account the overall objective of the customer (stakes, results etc.) (Choose one option)",(41) I am creative in finding new alternatives/solutions to customers' issues (Choose one option),(42) I am talented in selling complete customized solutions (Choose one option),(43) I am good at presenting our proposal as a unique way to reach customers' objectives (Choose one option),(44) My sales practices can be described as follows ( Choose the 4 most relevant statements)
Strongly Agree,Disagree,Agree,Somewhat Agree,Strongly DIsagree,,Agree,Don't Know,Strongly DIsagree,Disagree,"Customers know what is the best solution for them, Customer know what they want and what they do not want, Customers have a good knowledge of the different services/products offer by other competitors, Customers are most of the time resistant to advice",Strongly Agree,Agree,Disagree,Somewhat Agree,Agree,Somewhat Agree,Strongly DIsagree,Disagree,Strongly Agree,Don't Know,"We are known for the superior quality of our products and services, Our price is easily accepted by customers, Most of the time we do not fight against other competitors, Customers very often take the initiative to meet with us",Agree,Agree,Somewhat Agree,Don't Know,Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Strongly Agree,"I do my utmost to fulfil customers' expressed requirements, I have a very nice and friendly contact, I am empathetic and a very good listener, I am really good at consolidating the relations by being flexible and caring",Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Agree,Don't Know,Disagree,Somewhat Agree,Don't Know,Agree,"I am really taking into account the overall objective of the customer (stakes, results etc.), I am creative in finding new alternatives/solutions to customers' issues, I am talented in selling complete customized solutions, I am good at presenting our proposal as a unique way to reach customers' objectives"
Disagree,Somewhat Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,Somewhat Disagree,"We can only meet Customers when they have a specific need, Customers have a good understanding of our kind of services, Customers are normally hard to influence, Customers view us more as a supplier than a speaking partner",Somewhat Disagree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,"Our company brand name is a strong assest in customer contacts, Our competitiveness is recognised easily by customers, We are known for the superior quality of our products and services, Our price is easily accepted by customers",Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,"I do my utmost to fulfil customers' expressed requirements, I am happy to spend time with customers when they demand it, I have a strong analysis ability based on a good investigation technique, I am good at demonstrating my high level of expertise",Agree,Strongly Agree,Strongly Agree,Somewhat Disagree,Somewhat Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I am skilled at drawing attention and creating interest from almost nothing, I am skilled at challenging the customer's problem, I am really taking into account the overall objective of the customer (stakes, results etc.), I am talented in selling complete customized solutions"
Strongly Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Agree,Strongly Agree,Somewhat Disagree,Agree,Agree,"We can only meet Customers when they have a specific need, Customer know what they want and what they do not want, Customers are normally hard to influence, Customers are most of the time resistant to advice",Agree,Agree,Agree,Agree,Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,"We normally work more than 3 years in a row with a customer, Our price is easily accepted by customers, Most of the time we do not fight against other competitors, Customers very often take the initiative to meet with us",Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I do my utmost to fulfil customers' expressed requirements, I am empathetic and a very good listener, I am really good at consolidating the relations by being flexible and caring, I am happy to spend time with customers when they demand it",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"I am skilled at drawing attention and creating interest from almost nothing, I am only chasing good opportunities, I am strong at closing: steering every customer meeting to a decision, I am skilled at challenging the customer's problem"
Disagree,Disagree,Disagree,Strongly DIsagree,Disagree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Agree,"We can only meet Customers when they have a specific need, Customers know what is the best solution for them, Customer know what they want and what they do not want, Customers are generally resistant to new ideas and possible alternatives",Somewhat Disagree,Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,"We are known for the superior quality of our products and services, Most of the time we do not fight against other competitors, Customers very often take the initiative to meet with us, We can easily access key decision makers at customers, Customers help us in customer acquisition by playing an active reference role when asked for",Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Agree,Agree,Somewhat Agree,"I do my utmost to fulfil customers' expressed requirements, I have a strong analysis ability based on a good investigation technique, I am good at demonstrating my high level of expertise, I am good at defining, explaining and showing",Agree,Somewhat Agree,Agree,Disagree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,"I am very goal oriented: for every customer meeting I have a very clear sales objective, I am skilled at challenging the customer's problem, I am really taking into account the overall objective of the customer (stakes, results etc.), I am good at presenting our proposal as a unique way to reach customers' objectives"
Disagree,Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,"Customers have a good understanding of our kind of services, Customers are normally hard to influence, Customers are generally resistant to new ideas and possible alternatives, Customers are most of the time resistant to advice",Agree,Strongly Agree,Disagree,Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"We normally work more than 3 years in a row with a customer, Our company brand name is a strong assest in customer contacts, We are known for the superior quality of our products and services, Most of the time we do not fight against other competitors",Agree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,"I have a very nice and friendly contact, I am empathetic and a very good listener, I am good at demonstrating my high level of expertise, I am good at defining, explaining and showing",Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Agree,"I am very goal oriented: for every customer meeting I have a very clear sales objective, I am comfortable at handling conflicts: I have a very good pressure resistance, I am strong at closing: steering every customer meeting to a decision, I am really taking into account the overall objective of the customer (stakes, results etc.)"
Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,"Customers have a good knowledge of the different services/products offer by other competitors, Customers are generally resistant to new ideas and possible alternatives, Customers are most of the time resistant to advice, Customers view us more as a supplier than a speaking partner",Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Don't Know,Somewhat Disagree,Somewhat Agree,Don't Know,Don't Know,"We normally work more than 3 years in a row with a customer, Our company brand name is a strong assest in customer contacts, We are known for the superior quality of our products and services, We can easily access key decision makers at customers",Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,"I do my utmost to fulfil customers' expressed requirements, I have a very nice and friendly contact, I am empathetic and a very good listener, I am happy to spend time with customers when they demand it",Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,"I am very goal oriented: for every customer meeting I have a very clear sales objective, I am skilled at challenging the customer's problem, I am really taking into account the overall objective of the customer (stakes, results etc.), I am good at presenting our proposal as a unique way to reach customers' objectives"
Strongly DIsagree,Somewhat Agree,Agree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Agree,Disagree,Somewhat Disagree,"Customers know what is the best solution for them, Customer know what they want and what they do not want, Customers have the relevant expertise to appreciate the differences that may exist between different suppliers, Customers view us more as a supplier than a speaking partner",Disagree,Agree,Disagree,Agree,Don't Know,Don't Know,Disagree,Agree,Somewhat Disagree,Somewhat Agree,"Our company brand name is a strong assest in customer contacts, We are known for the superior quality of our products and services, Most of the time we do not fight against other competitors, We can easily access key decision makers at customers",Agree,Somewhat Disagree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,Somewhat Disagree,Disagree,"I do my utmost to fulfil customers' expressed requirements, I am happy to spend time with customers when they demand it, I have a strong analysis ability based on a good investigation technique, I am good at defining, explaining and showing",Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,Agree,Agree,Somewhat Disagree,"I am very goal oriented: for every customer meeting I have a very clear sales objective, I am skilled at drawing attention and creating interest from almost nothing, I am skilled at challenging the customer's problem, I am really taking into account the overall objective of the customer (stakes, results etc.)"
Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Disagree,Strongly DIsagree,Strongly DIsagree,Disagree,"Customers have a good understanding of our kind of services, Customer know what they want and what they do not want, Customers are generally resistant to new ideas and possible alternatives, Customers have the relevant expertise to appreciate the differences that may exist between different suppliers",Disagree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,"We are known for the superior quality of our products and services, Most of the time we do not fight against other competitors, Customers very often take the initiative to meet with us, We can easily access key decision makers at customers",Somewhat Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Somewhat Agree,Disagree,"I have a very nice and friendly contact, I have a strong analysis ability based on a good investigation technique, I am good at demonstrating my high level of expertise, I am good at defining, explaining and showing",Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,"I am very goal oriented: for every customer meeting I have a very clear sales objective, I am skilled at challenging the customer's problem, I am really taking into account the overall objective of the customer (stakes, results etc.), I am talented in selling complete customized solutions"
Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,"Customers have a good understanding of our kind of services, Customers know what is the best solution for them, Customers have a good knowledge of the different services/products offer by other competitors, Customers view us more as a supplier than a speaking partner",Somewhat Disagree,Strongly Agree,Somewhat Disagree,Agree,Strongly DIsagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Agree,"Our company brand name is a strong assest in customer contacts, We are known for the superior quality of our products and services, Customers very often take the initiative to meet with us, We are certainly the ""top of the mind supplier"" when customers have a need",Agree,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Disagree,"I do my utmost to fulfil customers' expressed requirements, I am really good at consolidating the relations by being flexible and caring, I have a strong analysis ability based on a good investigation technique, I am good at defining, explaining and showing",Somewhat Agree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,"I am skilled at drawing attention and creating interest from almost nothing, I am comfortable at handling conflicts: I have a very good pressure resistance, I am really taking into account the overall objective of the customer (stakes, results etc.), I am talented in selling complete customized solutions"
Strongly DIsagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,"Customer know what they want and what they do not want, Customers have a good knowledge of the different services/products offer by other competitors, Customers are generally resistant to new ideas and possible alternatives, Customers have the relevant expertise to appreciate the differences that may exist between different suppliers",Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"Our company brand name is a strong assest in customer contacts, Our competitiveness is recognised easily by customers, We are known for the superior quality of our products and services, We are certainly the ""top of the mind supplier"" when customers have a need",Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,"I have a very nice and friendly contact, I am empathetic and a very good listener, I have a strong analysis ability based on a good investigation technique, I am good at demonstrating my high level of expertise",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,"I am comfortable at handling conflicts: I have a very good pressure resistance, I am skilled at challenging the customer's problem, I am really taking into account the overall objective of the customer (stakes, results etc.), I am good at presenting our proposal as a unique way to reach customers' objectives"
Strongly DIsagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly DIsagree,Disagree,Somewhat Disagree,Disagree,Disagree,"Customers have a good understanding of our kind of services, Customer know what they want and what they do not want, Customers have a good knowledge of the different services/products offer by other competitors, Customers have the relevant expertise to appreciate the differences that may exist between different suppliers",Disagree,Strongly Agree,Somewhat Agree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Agree,Agree,"Our company brand name is a strong assest in customer contacts, We are known for the superior quality of our products and services, We can easily access key decision makers at customers, We are certainly the ""top of the mind supplier"" when customers have a need",Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,"I do my utmost to fulfil customers' expressed requirements, I am really good at consolidating the relations by being flexible and caring, I am happy to spend time with customers when they demand it, I have a strong analysis ability based on a good investigation technique, I am good at defining, explaining and showing",Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I am only chasing good opportunities, I am strong at closing: steering every customer meeting to a decision, I am skilled at challenging the customer's problem, I am really taking into account the overall objective of the customer (stakes, results etc.)"
Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Disagree,Somewhat Agree,Agree,"Customers have a good knowledge of the different services/products offer by other competitors, Customers are normally hard to influence, Customers are generally resistant to new ideas and possible alternatives, Customers view us more as a supplier than a speaking partner",Agree,Strongly Agree,Agree,Strongly Agree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Agree,Agree,"Our company brand name is a strong assest in customer contacts, Our competitiveness is recognised easily by customers, We are known for the superior quality of our products and services, We can easily access key decision makers at customers",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,"I do my utmost to fulfil customers' expressed requirements, I have a very nice and friendly contact, I am empathetic and a very good listener, I am really good at consolidating the relations by being flexible and caring",Strongly Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,Agree,Agree,Agree,Agree,"I am very goal oriented: for every customer meeting I have a very clear sales objective, I am skilled at drawing attention and creating interest from almost nothing, I am comfortable at handling conflicts: I have a very good pressure resistance, I am really taking into account the overall objective of the customer (stakes, results etc.)"
Strongly DIsagree,Disagree,Strongly DIsagree,Disagree,Agree,Agree,Agree,Disagree,Agree,Agree,"Customers have a good knowledge of the different services/products offer by other competitors, Customers are normally hard to influence, Customers are generally resistant to new ideas and possible alternatives, Customers view us more as a supplier than a speaking partner",Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,"Our company brand name is a strong assest in customer contacts, We are known for the superior quality of our products and services, Most of the time we do not fight against other competitors, We are certainly the ""top of the mind supplier"" when customers have a need",Strongly Agree,Somewhat Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,"I do my utmost to fulfil customers' expressed requirements, I am really good at consolidating the relations by being flexible and caring, I am happy to spend time with customers when they demand it, I am good at demonstrating my high level of expertise",Disagree,Agree,Strongly DIsagree,Somewhat Agree,Disagree,Somewhat Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"I am skilled at drawing attention and creating interest from almost nothing, I am creative in finding new alternatives/solutions to customers' issues, I am talented in selling complete customized solutions, I am good at presenting our proposal as a unique way to reach customers' objectives"
Strongly DIsagree,Disagree,Somewhat Disagree,Somewhat Agree,Strongly DIsagree,Somewhat Disagree,Strongly DIsagree,Strongly DIsagree,Disagree,Disagree,"Customers are normally hard to influence, Customers have the relevant expertise to appreciate the differences that may exist between different suppliers, Customers are most of the time resistant to advice, Customers view us more as a supplier than a speaking partner",Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly DIsagree,Agree,Somewhat Agree,Somewhat Agree,Don't Know,Somewhat Agree,"Our company brand name is a strong assest in customer contacts, Our competitiveness is recognised easily by customers, We are known for the superior quality of our products and services, Our price is easily accepted by customers",Strongly Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,"I do my utmost to fulfil customers' expressed requirements, I am really good at consolidating the relations by being flexible and caring, I am happy to spend time with customers when they demand it, I am good at defining, explaining and showing",Somewhat Agree,Agree,Somewhat Agree,Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,"I am skilled at drawing attention and creating interest from almost nothing, I am comfortable at handling conflicts: I have a very good pressure resistance, I am creative in finding new alternatives/solutions to customers' issues, I am talented in selling complete customized solutions"
Strongly DIsagree,Somewhat Disagree,Disagree,Strongly DIsagree,Somewhat Agree,Strongly DIsagree,Strongly DIsagree,Somewhat Disagree,Strongly DIsagree,Disagree,"Customers have a good understanding of our kind of services, Customers are normally hard to influence, Customers have the relevant expertise to appreciate the differences that may exist between different suppliers, Customers are most of the time resistant to advice",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Somewhat Agree,Agree,Agree,"We normally work more than 3 years in a row with a customer, Our company brand name is a strong assest in customer contacts, Our competitiveness is recognised easily by customers, Most of the time we do not fight against other competitors",Strongly Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,"I do my utmost to fulfil customers' expressed requirements, I am empathetic and a very good listener, I am really good at consolidating the relations by being flexible and caring, I am happy to spend time with customers when they demand it",Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,"I am very goal oriented: for every customer meeting I have a very clear sales objective, I am comfortable at handling conflicts: I have a very good pressure resistance, I am only chasing good opportunities, I am strong at closing: steering every customer meeting to a decision"
Strongly DIsagree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Disagree,Disagree,Somewhat Agree,Disagree,Disagree,"We can only meet Customers when they have a specific need, Customers are normally hard to influence, Customers have the relevant expertise to appreciate the differences that may exist between different suppliers, Customers view us more as a supplier than a speaking partner",Strongly DIsagree,Strongly Agree,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Disagree,Somewhat Disagree,Disagree,Agree,"We normally work more than 3 years in a row with a customer, Our competitiveness is recognised easily by customers, We can easily access key decision makers at customers, We are certainly the ""top of the mind supplier"" when customers have a need",Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Strongly Agree,Agree,Agree,Agree,Agree,Somewhat Agree,"I do my utmost to fulfil customers' expressed requirements, I am happy to spend time with customers when they demand it, I am good at demonstrating my high level of expertise, I am good at defining, explaining and showing",Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Agree,Somewhat Agree,Somewhat Agree,Agree,Agree,"I am comfortable at handling conflicts: I have a very good pressure resistance, I am strong at closing: steering every customer meeting to a decision, I am skilled at challenging the customer's problem, I am really taking into account the overall objective of the customer (stakes, results etc.)"
